_id,X,Y,neighborhood_id,neighborhood_name,device_serial,device_connectedto,device_address,device_lat,device_long,device_tags,etl_updatedtimestamp,is_current,org1,org2,inside_outside,landmark,ObjectId
34,-71.0659605900958,42.315958662778,N_601230550253965256,Strand Theatre - Internal,Q2KD-T5KV-QQRN,Strand_Stage Right ,"543 Columbia Rd, Boston, MA 02125",42.315958662778,-71.0659605900958,['Inside'],2024/04/02 07:56:10+00,1,,,Inside,,34
35,-71.0659605900958,42.315958662778,N_601230550253965256,Strand Theatre - Internal,Q2KD-DQJU-LYTD,Strand_Stage Left,"543 Columbia Rd, Boston, MA 02125",42.315958662778,-71.0659605900958,['Inside'],2024/04/02 07:56:10+00,1,,,Inside,,35
36,-71.0829605987571,42.3310986653424,N_601230550253966449,OPAT,Q3AC-GXG6-6WZR,OPAT-AP1,2201 Washington St Roxbury MA 02118,42.3310986653424,-71.0829605987571,[],2024/04/02 07:56:10+00,1,,,,,36
37,-71.0059505781137,42.3860786782013,N_601230550253966604,East Boston Senior Center,Q3AB-3QKN-ZC2L,EBSC-AP-2,"18 Barnes Avenue, East Boston, MA 02128",42.3860786782013,-71.0059505781137,"['Inside', 'employee']",2024/04/02 07:56:11+00,1,,,Inside,employee,37
38,-71.0059505781137,42.3860786782013,N_601230550253966604,East Boston Senior Center,Q3AB-3PP3-JU4W,EBSC-AP-1,"18 Barnes Avenue, East Boston, MA 02128",42.3860786782013,-71.0059505781137,"['Inside', 'employee']",2024/04/02 07:56:11+00,1,,,Inside,employee,38
39,-71.0059505781137,42.3860786782013,N_601230550253966604,East Boston Senior Center,Q3AB-384Z-M6EA,EBSC-AP-4,"18 Barnes Avenue, East Boston, MA 02128",42.3860786782013,-71.0059505781137,"['Inside', 'employee']",2024/04/02 07:56:11+00,1,,,Inside,employee,39
40,-71.0059505781137,42.3860786782013,N_601230550253966604,East Boston Senior Center,Q3AB-SYXF-PX75,EBSC-AP-3,"18 Barnes Avenue, East Boston, MA 02128",42.3860786782013,-71.0059505781137,"['Inside', 'employee']",2024/04/02 07:56:11+00,1,,,Inside,employee,40
41,-71.0711796721667,42.2997765683813,N_568579452955534204,Dorchester,Q2CK-CJQV-TSTH,DOT-MARSHALL-AP2,"35 Westville St., Dorchester, MA",42.2997765683813,-71.0711796721667,"['BPS', 'Marshall-School', 'Outside', 'UP-Academy']",2024/04/02 07:55:59+00,1,BPS,,,Marshall School Outside UP Academy,41
42,-71.0756002595557,42.2967885000962,N_568579452955534204,Dorchester,Q2CK-9ECJ-KEVB,DOT-HOLMES-AP2,"40 School St, Dorchester",42.2967885000962,-71.0756002595557,"['BPS', 'Holmes-Elementary-School', 'Outside']",2024/04/02 07:55:59+00,1,BPS,,,Holmes Elementary School Outside,42
43,-71.0632356684482,42.3183362717841,N_568579452955534204,Dorchester,Q2CK-H48M-P2E9,DOT-BFD21-AP3,"641 Columbia Rd., Dorchester, MA",42.3183362717841,-71.0632356684482,"['BFD', 'Engine-21', 'Outside']",2024/04/02 07:55:59+00,1,BFD,,,Engine 21 Outside,43
44,-71.0738590190213,42.3056181301162,N_568579452955534204,Dorchester,Q2CK-ERFW-VHQX,DOT-HOLLAND-AP2,"85 Olney St., Dorchester, MA",42.3056181301162,-71.0738590190213,"['BCYF', 'Holland-Comm-Center', 'Outside']",2024/04/02 07:55:59+00,1,BCYF,,,Holland Comm Center Outside,44
